PlotType,Description,PlotPurpose,Shape,Area,BAF,Length,SlopeCorrection
"0.05ha","P 0.05Ha Circular","Primary","Circular",0.05,0,0,0
"0.06ha","P 0.06Ha Circular","Primary","Circular",0.06,0,0,0
