PopulationName,StratumName,PlotId,TreeNumber,DBH,Height,HeightStatus,IsDead,OutsidePlot,MirageCount,LastMeasured,Species,StemType,ResinCode,SDiamHt,SDiamEstimate,Windblown,GCHt,EdgeTree,TrComment,AuditTreeComment,T_DistA,T_DistB,T_DistC,T_DistD,Peak_Outside,Distance,Bearing,TreeLocation_X,TreeLocation_Y
L19RAD05_FY24,HQP128,HQP128,4,250,14.55,NORMAL,Live,FALSE,1,4/09/2024 9:43,PHYB,,0,,,,,,,,,,,,NO,8.850000381,31,0,0
L19RAD05_FY24,HQP128,HQP128,5,120,9.9,NORMAL,Live,FALSE,1,4/09/2024 9:43,PHYB,,0,,,,,,,,,,,,NO,6.730000019,34,0,0
L19RAD05_FY24,HQP128,HQP128,6,108,9.2,NORMAL,Live,FALSE,1,4/09/2024 9:44,PHYB,,0,,,,,,,,,,,,NO,4.789999962,41,0,0
L19RAD05_FY24,HQP128,HQP128,8,220,14.64,NORMAL,Live,FALSE,1,4/09/2024 9:44,PHYB,,0,,,,,,,,,,,,NO,12.51000023,51,0,0
L19RAD05_FY24,HQP128,HQP128,11,200,16.08,NORMAL,Live,FALSE,1,4/09/2024 9:46,PHYB,,0,,,,,,,,,,,,NO,11.01000023,56,0,0
L19RAD05_FY24,HQP128,HQP128,12,110,6.8,NORMAL,Live,FALSE,1,4/09/2024 9:47,PHYB,,0,,,,,,,,,,,,NO,2.869999886,58,0,0
L19RAD05_FY24,HQP128,HQP128,13,187,11.52,NORMAL,Live,FALSE,1,4/09/2024 9:46,PHYB,,0,,,,,,,,,,,,NO,8.630000114,67,0,0
L19RAD05_FY24,HQP128,HQP128,14,177,11.9,NORMAL,Live,FALSE,1,4/09/2024 9:46,PHYB,,0,,,,,,,,,,,,NO,7.300000191,75,0,0
L19RAD05_FY24,HQP128,HQP128,16,200,15.59,NORMAL,Live,FALSE,1,4/09/2024 9:47,PHYB,,0,,,,,,,,,,,,NO,6.659999847,95,0,0
L19RAD05_FY24,HQP128,HQP128,17,213,9.9,NORMAL,Live,FALSE,1,4/09/2024 9:47,PHYB,,0,,,,,,,,,,,,NO,12,95,0,0
L19RAD05_FY24,HQP128,HQP128,18,223,15.51,NORMAL,Live,FALSE,1,4/09/2024 9:47,PHYB,,0,,,,,,,,,,,,NO,1.720000029,103,0,0
L19RAD05_FY24,HQP128,HQP128,19,133,9.6,NORMAL,Live,FALSE,1,4/09/2024 9:48,PHYB,,0,,,,,,,,,,,,NO,11.64999962,111,0,0
L19RAD05_FY24,HQP128,HQP128,20,140,15.21,NORMAL,Live,FALSE,1,4/09/2024 9:48,PHYB,,0,,,,,,,,,,,,NO,6.119999886,111,0,0
L19RAD05_FY24,HQP128,HQP128,22,227,16.46,NORMAL,Live,FALSE,1,4/09/2024 9:48,PHYB,,0,,,,,,,,,,,,NO,6.550000191,125,0,0
L19RAD05_FY24,HQP128,HQP128,24,293,16.58,NORMAL,Live,FALSE,1,4/09/2024 9:49,PHYB,,0,,,,,,,,,,,,NO,12.31000042,127,0,0
L19RAD05_FY24,HQP128,HQP128,29,240,14.06,NORMAL,Live,FALSE,1,4/09/2024 9:50,PHYB,,0,,,,,,,,,,,,NO,13.31000042,137,0,0
L19RAD05_FY24,HQP128,HQP128,30,157,14,NORMAL,Live,FALSE,1,4/09/2024 9:51,PHYB,,0,,,,,,,,,,,,NO,7.340000153,140,0,0
L19RAD05_FY24,HQP128,HQP128,32,220,13.6,NORMAL,Live,FALSE,1,4/09/2024 9:52,PHYB,,0,,,,,,,,,,,,NO,10.35000038,160,0,0
L19RAD05_FY24,HQP128,HQP128,33,200,14.03,NORMAL,Live,FALSE,1,4/09/2024 9:52,PHYB,,0,,,,,,,,,,,,NO,2.670000076,162,0,0
L19RAD05_FY24,HQP128,HQP128,34,227,15.72,NORMAL,Live,FALSE,1,4/09/2024 9:52,PHYB,,0,,,,,,,,,,,,NO,11.75,166,0,0
L19RAD05_FY24,HQP128,HQP128,35,260,17.33,NORMAL,Live,FALSE,1,4/09/2024 9:52,PHYB,,0,,,,,,,,,,,,NO,13.31999969,171,0,0
L19RAD05_FY24,HQP128,HQP128,36,223,15.07,NORMAL,Live,FALSE,1,4/09/2024 9:53,PHYB,,0,,,,,,,,,,,,NO,4.840000153,183,0,0
L19RAD05_FY24,HQP128,HQP128,37,243,14.03,NORMAL,Live,FALSE,1,4/09/2024 9:53,PHYB,,0,,,,,,,,,,,,NO,7.159999847,189,0,0
L19RAD05_FY24,HQP128,HQP128,38,153,11.16,NORMAL,Live,FALSE,1,4/09/2024 9:53,PHYB,,0,,,,,,,,,,,,NO,9.600000381,191,0,0
L19RAD05_FY24,HQP128,HQP128,39,177,13.99,NORMAL,Live,FALSE,1,4/09/2024 9:53,PHYB,,0,,,,,,,,,,,,NO,11.03999996,193,0,0
L19RAD05_FY24,HQP128,HQP128,40,240,13.65,NORMAL,Live,FALSE,1,4/09/2024 9:54,PHYB,,0,,,,,,,,,,,,NO,11.57999992,216,0,0
L19RAD05_FY24,HQP128,HQP128,41,260,15.03,NORMAL,Live,FALSE,1,4/09/2024 9:54,PHYB,,0,,,,,,,,,,,,NO,9.770000458,220,0,0
L19RAD05_FY24,HQP128,HQP128,42,113,8.5,NORMAL,Live,FALSE,1,4/09/2024 9:54,PHYB,,0,,,,,,,,,,,,NO,7.550000191,225,0,0
L19RAD05_FY24,HQP128,HQP128,43,266,14.9,NORMAL,Live,FALSE,1,4/09/2024 9:54,PHYB,,0,,,,,,,,,,,,NO,12.77000046,243,0,0
L19RAD05_FY24,HQP128,HQP128,46,193,14.78,NORMAL,Live,FALSE,1,4/09/2024 9:54,PHYB,,0,,,,,,,,,,,,NO,11.13000011,251,0,0
L19RAD05_FY24,HQP128,HQP128,47,227,14.99,NORMAL,Live,FALSE,1,4/09/2024 9:55,PHYB,,0,,,,,,,,,,,,NO,3.579999924,251,0,0
L19RAD05_FY24,HQP128,HQP128,48,160,11.07,NORMAL,Live,FALSE,1,4/09/2024 9:55,PHYB,,0,,,,,,,,,,,,NO,9.619999886,265,0,0
L19RAD05_FY24,HQP128,HQP128,52,203,15.71,NORMAL,Live,FALSE,1,4/09/2024 9:56,PHYB,,0,,,,,,,,,,,,NO,2.950000048,285,0,0
L19RAD05_FY24,HQP128,HQP128,53,150,10.2,NORMAL,Live,FALSE,1,4/09/2024 9:56,PHYB,,0,,,,,,,,,,,,NO,13.35000038,293,0,0
L19RAD05_FY24,HQP128,HQP128,54,200,13.71,NORMAL,Live,FALSE,1,4/09/2024 9:56,PHYB,,0,,,,,,,,,,,,NO,8.81000042,295,0,0
L19RAD05_FY24,HQP128,HQP128,55,160,13.08,NORMAL,Live,FALSE,1,4/09/2024 9:56,PHYB,,0,,,,,,,,,,,,NO,9.720000267,322,0,0
L19RAD05_FY24,HQP128,HQP128,56,240,13.59,NORMAL,Live,FALSE,1,4/09/2024 9:56,PHYB,,0,,,,,,,,,,,,NO,3.690000057,328,0,0
L19RAD05_FY24,HQP128,HQP128,57,273,16.22,NORMAL,Live,FALSE,1,4/09/2024 9:56,PHYB,,0,,,,,,,,,,,,NO,11.55000019,333,0,0
L19RAD05_FY24,HQP128,HQP128,58,197,13.49,NORMAL,Live,FALSE,1,4/09/2024 9:57,PHYB,,0,,,,,,,,,,,,NO,13.34000015,342,0,0
L19RAD05_FY24,HQP128,HQP128,59,220,14,NORMAL,Live,FALSE,1,4/09/2024 9:57,PHYB,,0,,,,,,,,,,,,NO,5.25,347,0,0
L19RAD05_FY24,HQP128,HQP128,62,200,13.96,NORMAL,Live,FALSE,1,4/09/2024 9:57,PHYB,,0,,,,,,,,,,,,NO,7.309999943,357,0,0
